id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7856474,London 2 bed Surbiton nr Twickenham,40868813,Patrick,,Kingston upon Thames,51.377571676232385,-0.30193019872736193,Entire home/apt,95,1,0,,,1,90
414862,Cosy room - 20 min train to London,1961527,Penny,,Kingston upon Thames,51.38885817418937,-0.29180661274482106,Private room,28,2,52,2015-08-08,1.28,1,319
7017868,studio flat near tube sttaion,18894615,Ozzy,,Kingston upon Thames,51.40967503451239,-0.3047487520821107,Entire home/apt,59,3,1,2015-06-28,0.44,1,365
4363188,Large 4 Bed family home with garden,22648205,Claire,,Kingston upon Thames,51.408729454744915,-0.2973320063433405,Entire home/apt,200,7,0,,,1,75
6735259,Modern and cute Victorian Cottage,35271724,Tracy,,Kingston upon Thames,51.40703841325932,-0.30635316815100855,Entire home/apt,150,3,2,2015-07-25,1.46,1,210
7730826,1 bedroom flat in central Kingston,17066316,Danny,,Kingston upon Thames,51.4158252313631,-0.30150511746301506,Entire home/apt,62,1,2,2015-09-01,2,1,201
5098744,Luxurious NEW 1-Bed Apartment ,26345340,Sheni,,Kingston upon Thames,51.413899434976656,-0.3065047484938054,Entire home/apt,90,1,6,2015-08-02,0.96,1,365
7515814,Relaxing Garden Apartment,26371060,Ana,,Kingston upon Thames,51.41355381188027,-0.2963758884667987,Entire home/apt,60,2,3,2015-08-28,2.81,1,343
4298091,Modern Ensuite next to the Thames,21725175,Young,,Kingston upon Thames,51.40769243906878,-0.3059150032535042,Private room,63,1,5,2015-05-13,0.66,1,361
2376517,"Osborne Villa, Kingston Upon Thames",10235563,Leo,,Kingston upon Thames,51.40326008197565,-0.2989223402903994,Private room,67,1,5,2015-08-03,0.36,1,350
3766472,"Bright, clean room near University",4922173,Martha,,Kingston upon Thames,51.40665327322626,-0.3074534604767833,Private room,35,1,4,2015-07-24,0.34,1,56
6745039,Luxury Double Room Modern Apartment,35316592,Ben,,Kingston upon Thames,51.41543412447502,-0.30442549645705314,Private room,45,1,4,2015-08-27,1.56,1,81
4058444,Lovely Room in Central Kingston,13449830,Zack,,Kingston upon Thames,51.40869126316923,-0.30140761497586765,Private room,69,1,19,2015-08-23,1.64,1,215
8020994,Large room in New Malden,35325452,Marek,,Kingston upon Thames,51.40543671348609,-0.2620809359966162,Private room,49,2,0,,,1,144
6900604,Beautiful eco-dutch barge London,34687835,Gabriella,,Kingston upon Thames,51.40755341489777,-0.3045028310299231,Entire home/apt,125,1,2,2015-07-27,0.94,3,365
6900601,Historic Dutch Barge London,34687835,Gabriella,,Kingston upon Thames,51.409666807795915,-0.3036626068776621,Entire home/apt,60,1,11,2015-08-24,5.08,3,354
1604261,"2 bed house, Kingston, London",4237663,Jonathan,,Kingston upon Thames,51.40538290650482,-0.2949349472265216,Entire home/apt,130,5,11,2015-07-12,0.49,1,320
5536091,Private Room by Kingston Station,28704848,Martin,,Kingston upon Thames,51.413828679306384,-0.30163822153896475,Private room,50,1,1,2015-04-21,0.22,1,365
2580200,KINGSTON ROOM EASY ACCESS TO LONDON,13214455,,,Kingston upon Thames,51.409734991248115,-0.28798045684533446,Private room,60,1,11,2015-05-19,0.92,1,128
5994137,Double room near centre of Kingston,31123373,Chris,,Kingston upon Thames,51.40922989253186,-0.2941593734456978,Private room,54,1,6,2015-08-07,1.33,1,345
7877458,Double Room & Ensuite - SW London,20791488,Alison,,Kingston upon Thames,51.4038720431163,-0.2479531216165405,Private room,65,2,0,,,2,3
